Point,Coord_X,Coord_Y
0,4246768.197,866544.3707
1,4247421.431,866909.2808
2,4248051.319,867614.0771
3,4248676.904,868250.2313
4,4249083.303,868316.7444
5,4249591.067,867455.6253
6,4250209.475,866946.1158
7,4250563.494,867388.1112
8,4251563.029,867357.604
9,4252562.563,867327.0965
10,4252608.516,868267.9846
11,4252935.143,869048.5689
12,4253204.434,869925.2556
13,4253437.132,870831.7523
14,4254259.044,871378.6762
15,4254411.414,872300.5879
16,4253738.669,872451.5423
17,4253302.843,872402.8196
18,4252927.707,872760.7438
19,4253658.041,872721.914
20,4254030.823,873391.4659
21,4254936.646,873251.3235
22,4255926.509,873154.4695
23,4256378.298,872263.4659
24,4256683.967,871340.8724
25,4256512.289,870379.1299
26,4256318.328,869515.5509
27,4256740.406,869221.9669
28,4256788.508,869533.7976
29,4257020.053,868562.0771
30,4257263.616,867592.1919
31,4258008.384,867250.5085
32,4259008.14,867228.4239
33,4260007.896,867206.3392
34,4260538.312,866735.3264
35,4260622.047,865838.6526
36,4261622.026,865832.1417
37,4261899.977,866570.7448
38,4262899.392,866536.5371
39,4263550.009,866848.9833
40,4264540.475,866770.0942
41,4265474.852,866415.3671
42,4266388.318,866026.3507
43,4267219.661,865483.2238
44,4267920.765,864776.8822
45,4267750.636,863815.2152
46,4268070.369,862881.1549
47,4268192.464,861950.7362
48,4268329.928,861045.1663
49,4268468.632,860138.6165
50,4267877.57,859332.3684
51,4267429.213,858456.977
52,4268085.54,857867.2251
53,4269027.268,857536.0617
54,4269957.495,857189.4531
55,4270880.156,856819.8179
56,4271803.451,856444.56
57,4272749.725,856237.9173
58,4273582.218,856425.1509
59,4274335.815,856657.9268
60,4275032.82,856949.0354
61,4276032.248,856915.2408
62,4277031.677,856881.4459
63,4277820.923,856650.8445
64,4278820.35,856616.9938
65,4278715.697,856889.9423
66,4278756.506,857889.1093
67,4278797.315,858888.2762
68,4278838.125,859887.4432
69,4278878.934,860886.6102
70,4278919.744,861885.7772
71,4278313.161,862284.4843
72,4277672.275,862654.2467
73,4277704.511,863653.727
74,4278470.282,863876.1047
75,4279469.959,863850.6831
76,4279782.493,863179.5518
77,4279801.054,862231.6401
78,4280800.416,862195.9245
79,4281799.778,862160.209
80,4281858.37,861250.1726
81,4282494.842,860880.4518
82,4283138.093,861228.4282
83,4283168.061,862227.979
84,4283198.029,863227.5302
85,4283523.365,863442.668
86,4283599.824,864324.8704
87,4283502.171,865123.7618
88,4283678.659,866087.8445
89,4283585.831,866440.3064
90,4283160.89,867269.1148
91,4282515.416,867436.2398
92,4282249.316,868324.3399
93,4281424.015,868853.3458
94,4281203.464,868177.0351
95,4281168.713,867177.6883
96,4280851.482,866470.4524
97,4280437.947,867044.9226
98,4280471.587,868044.3527
99,4280500.714,869043.9285
100,4281229.647,869203.2999
101,4281221.047,870191.2589
102,4280666.762,871022.8527
103,4280067.473,871812.086
104,4279525.338,871948.9649
105,4279496.44,870949.3825
106,4278838.911,870619.6093
107,4278144.641,870325.3127
108,4278122.918,869325.5486
109,4278101.195,868325.7844
110,4277829.711,867605.8852
111,4277088.25,867517.3957
112,4276521.75,868240.6785
113,4276478.654,869189.3192
114,4276123.376,869826.5974
115,4275123.886,869858.5282
116,4274416.354,869579.5846
117,4273943.913,869549.2513
118,4273810.666,870392.957
119,4274282.171,870921.6138
120,4275142.723,870759.4055
121,4275473.224,871445.5889
122,4276025.267,871893.5479
123,4276934.742,872143.497
124,4277606.974,872683.7149
125,4278579.991,872914.4472
126,4279502.87,872662.1483
127,4280357.381,872143.7841
128,4280991.842,871385.9062
129,4281434.066,870489.003
130,4281910.352,869642.916
131,4282909.719,869608.2451
132,4283909.261,869577.9829
133,4283981.078,868635.7979
134,4284377.683,868180.9167
135,4284487.712,867216.503
136,4285350.986,867040.477
137,4286350.471,867008.4072
138,4287349.957,866976.3369
139,4288349.442,866944.2671
140,4288925.94,867357.2769
141,4289664.841,867598.2736
142,4289724.705,868558.8967
143,4290481.892,868777.8983
144,4291481.321,868744.6381
145,4292480.975,868718.3468
146,4293480.629,868692.0276
147,4294480.233,868663.9154
148,4295479.822,868635.2421
149,4296349.993,868744.0932
150,4296382.032,869743.5797
151,4297186.419,869927.6752
152,4297717.3,869459.044
153,4297806.11,868568.9518
154,4298805.75,868542.1476
155,4299006.667,869365.8724
156,4299042.654,870365.2244
157,4299252.263,871176.7497
158,4300251.358,871134.2057
159,4300406.394,870334.354
160,4300836.952,869781.018
161,4301644.618,869566.5331
