Number,Direction,Feet,boundary
1,271.5688655,5217.13,Pleasant Hill Rural Fire Protection District
2,182.0987412,689.45,Pleasant Hill Rural Fire Protection District
3,89.53661665,1256.24,Pleasant Hill Rural Fire Protection District
4,181.8429367,1973.46,Pleasant Hill Rural Fire Protection District
5,91.95756803,1317.94,0
6,181.7787515,2669.2,0
7,271.7234826,1325.78,0
8,181.6520484,330,0
9,270.9322424,330,0
10,1.652290398,328.98,0
11,270.7559131,893.67,0
12,181.6373768,28.87,0
13,272.0136247,2570.09,Pleasant Hill Rural Fire Protection District
14,1.469148617,6.92,Pleasant Hill Rural Fire Protection District
15,271.9899154,1437.26,Pleasant Hill Rural Fire Protection District
16,2.103671056,3435.67,Pleasant Hill Rural Fire Protection District
17,271.6178207,1005.76,Pleasant Hill Rural Fire Protection District
18,1.641890037,1330.39,Pleasant Hill Rural Fire Protection District
19,92.10877918,254.8,Pleasant Hill Rural Fire Protection District
20,1.641616984,229.13,Pleasant Hill Rural Fire Protection District
21,1.64161063,130.87,Pleasant Hill Rural Fire Protection District
22,92.17273337,309.11,Pleasant Hill Rural Fire Protection District
23,1.621421501,365.36,Pleasant Hill Rural Fire Protection District
24,28.94988451,226.55,Pleasant Hill Rural Fire Protection District
25,274.7893274,769.49,Pleasant Hill Rural Fire Protection District
26,274.7893217,208.26,Pleasant Hill Rural Fire Protection District
27,1.72361473,418.49,Pleasant Hill Rural Fire Protection District
28,272.6232434,1669.8,Pleasant Hill Rural Fire Protection District
29,181.8407489,665.84,Pleasant Hill Rural Fire Protection District
30,219.9918568,111.98,Pleasant Hill Rural Fire Protection District
31,233.5808107,70.05,Pleasant Hill Rural Fire Protection District
32,272.4333759,4639.06,Pleasant Hill Rural Fire Protection District
33,268.7108128,1760.36,Pleasant Hill Rural Fire Protection District
34,302.5812677,353.89,Pleasant Hill Rural Fire Protection District
35,259.5830227,280.2,Pleasant Hill Rural Fire Protection District
36,270.2307632,4896.22,Pleasant Hill Rural Fire Protection District
37,26.39289222,243.42,Pleasant Hill Rural Fire Protection District
38,21.64636122,212.82,Pleasant Hill Rural Fire Protection District
39,10.30477497,23.51,Pleasant Hill Rural Fire Protection District
40,10.30476174,59.54,Pleasant Hill Rural Fire Protection District
41,0,81.7,Pleasant Hill Rural Fire Protection District
42,357.0643431,290.06,Pleasant Hill Rural Fire Protection District
43,353.8842986,209.16,Pleasant Hill Rural Fire Protection District
44,346.6077523,10.45,Pleasant Hill Rural Fire Protection District
45,346.6078799,149.89,Pleasant Hill Rural Fire Protection District
46,333.4349488,49.83,Pleasant Hill Rural Fire Protection District
47,327.9942837,29.91,Pleasant Hill Rural Fire Protection District
48,327.9946168,110.23,Pleasant Hill Rural Fire Protection District
49,338.9624019,61.98,Pleasant Hill Rural Fire Protection District
50,338.9625215,41.47,Pleasant Hill Rural Fire Protection District
51,324.4615908,20.91,Pleasant Hill Rural Fire Protection District
52,324.4625764,42.98,Pleasant Hill Rural Fire Protection District
53,314.9995716,31.03,Pleasant Hill Rural Fire Protection District
54,315,63.51,Pleasant Hill Rural Fire Protection District
55,313.0253425,152.4,Pleasant Hill Rural Fire Protection District
56,265.571917,9.03,Pleasant Hill Rural Fire Protection District
57,265.5717828,22.62,Pleasant Hill Rural Fire Protection District
58,265.5715928,63.93,Pleasant Hill Rural Fire Protection District
59,265.5716987,164.51,Pleasant Hill Rural Fire Protection District
60,265.5716081,154.78,Pleasant Hill Rural Fire Protection District
61,263.2902026,55.74,Pleasant Hill Rural Fire Protection District
62,263.290385,39.62,Pleasant Hill Rural Fire Protection District
63,276.3414678,14.64,Pleasant Hill Rural Fire Protection District
64,276.3407136,35.8,Pleasant Hill Rural Fire Protection District
65,282.2003604,210.88,Pleasant Hill Rural Fire Protection District
66,299.7389005,3.51,Pleasant Hill Rural Fire Protection District
67,299.7462409,27.44,Pleasant Hill Rural Fire Protection District
68,299.7448813,13.96,Pleasant Hill Rural Fire Protection District
69,311.6333997,67.08,Pleasant Hill Rural Fire Protection District
70,313.1602288,115.24,Pleasant Hill Rural Fire Protection District
